"time","latitude","longitude","ptype"
2013-02-28 23:00:00,46.05,18.8,3.3145751953125
2013-03-31 23:00:00,46.05,18.8,3.698974609375
2013-04-30 23:00:00,46.05,18.8,3.698974609375
2013-05-31 23:00:00,46.05,18.8,3.2392578125
2013-06-30 23:00:00,46.05,18.8,2.353515625
2013-07-31 23:00:00,46.05,18.8,2.491943359375
2013-08-31 23:00:00,46.05,18.8,2.481201171875
2013-09-30 23:00:00,46.05,18.8,2.481201171875
2013-10-31 23:00:00,46.05,18.8,2.393798828125
2013-11-30 23:00:00,46.05,18.8,2.1666259765625
2013-12-31 23:00:00,46.05,18.8,2.1666259765625
2014-01-31 23:00:00,46.05,18.8,2.056396484375
2014-02-28 23:00:00,46.05,18.8,2.045654296875
2014-03-31 23:00:00,46.05,18.8,2.045654296875
2014-04-30 23:00:00,46.05,18.8,1.9892578125
2014-05-31 23:00:00,46.05,18.8,2.2862548828125
2014-06-30 23:00:00,46.05,18.8,2.2862548828125
2014-07-31 23:00:00,46.05,18.8,3.2056884765625
2014-08-31 23:00:00,46.05,18.8,3.1531982421875
2014-09-30 23:00:00,46.05,18.8,3.1531982421875
2014-10-31 23:00:00,46.05,18.8,2.4031982421875
2014-11-30 23:00:00,46.05,18.8,2.4327392578125
2014-12-31 23:00:00,46.05,18.8,2.8817138671875
2015-01-31 23:00:00,46.05,18.8,2.709716796875
2015-02-28 23:00:00,46.05,18.8,2.709716796875
2015-03-31 23:00:00,46.05,18.8,2.7647705078125
2015-04-30 23:00:00,46.05,18.8,2.6478271484375
2015-05-31 23:00:00,46.05,18.8,2.6478271484375
2015-06-30 23:00:00,46.05,18.8,2.54833984375
2015-07-31 23:00:00,46.05,18.8,2.561767578125
2015-08-31 23:00:00,46.05,18.8,2.561767578125
2015-09-30 23:00:00,46.05,18.8,2.2164306640625
2015-10-31 23:00:00,46.05,18.8,2.5645751953125
2015-11-30 23:00:00,46.05,18.8,2.5645751953125
2015-12-31 23:00:00,46.05,18.8,3.5281982421875
2016-01-31 23:00:00,46.05,18.8,3.186767578125
2016-02-29 23:00:00,46.05,18.8,3.186767578125
2016-03-31 23:00:00,46.05,18.8,2.3037109375
2016-04-30 23:00:00,46.05,18.8,2.1263427734375
2016-05-31 23:00:00,46.05,18.8,3.1962890625
2016-06-30 23:00:00,46.05,18.8,3.1290283203125
2016-07-31 23:00:00,46.05,18.8,3.1290283203125
2016-08-31 23:00:00,46.05,18.8,3.0174560546875
2016-09-30 23:00:00,46.05,18.8,2.829345703125
2016-10-31 23:00:00,46.05,18.8,2.829345703125
2016-11-30 23:00:00,46.05,18.8,2.66796875
2016-12-31 23:00:00,46.05,18.8,2.7513427734375
2017-01-31 23:00:00,46.05,18.8,2.7513427734375
2017-02-28 23:00:00,46.05,18.8,2.6075439453125
2017-03-31 23:00:00,46.05,18.8,2.8414306640625
2017-04-30 23:00:00,46.05,18.8,2.8414306640625
2017-05-31 23:00:00,46.05,18.8,3.4610595703125
2017-06-30 23:00:00,46.05,18.8,3.024169921875
2017-07-31 23:00:00,46.05,18.8,3.024169921875
2017-08-31 23:00:00,46.05,18.8,2.3333740234375
2017-09-30 23:00:00,46.05,18.8,2.090087890625
2017-10-31 23:00:00,46.05,18.8,3.258056640625
2017-11-30 23:00:00,46.05,18.8,3.084716796875
2017-12-31 23:00:00,46.05,18.8,3.084716796875
2018-01-31 23:00:00,46.05,18.8,3.08740234375
2018-02-28 23:00:00,46.05,18.8,3.1142578125
2018-03-31 23:00:00,46.05,18.8,3.1142578125
2018-04-30 23:00:00,46.05,18.8,2.83740234375
2018-05-31 23:00:00,46.05,18.8,2.7513427734375
2018-06-30 23:00:00,46.05,18.8,2.7513427734375
2018-07-31 23:00:00,46.05,18.8,2.7459716796875
2018-08-31 23:00:00,46.05,18.8,2.8212890625
2018-09-30 23:00:00,46.05,18.8,2.8212890625
2018-10-31 23:00:00,46.05,18.8,3.045654296875
2018-11-30 23:00:00,46.05,18.8,3.045654296875
2018-12-31 23:00:00,46.05,18.8,3.045654296875
2019-01-31 23:00:00,46.05,18.8,2.7835693359375
2019-02-28 23:00:00,46.05,18.8,2.3427734375
2019-03-31 23:00:00,46.05,18.8,3.133056640625
2019-04-30 23:00:00,46.05,18.8,3.10888671875
2019-05-31 23:00:00,46.05,18.8,3.10888671875
2019-06-30 23:00:00,46.05,18.8,3.18408203125
2019-07-31 23:00:00,46.05,18.8,3.3441162109375
2019-08-31 23:00:00,46.05,18.8,3.3441162109375
2019-09-30 23:00:00,46.05,18.8,3.3023681640625
2019-10-31 23:00:00,46.05,18.8,3.09814453125
2019-11-30 23:00:00,46.05,18.8,3.09814453125
2019-12-31 23:00:00,46.05,18.8,3.0335693359375
2020-01-31 23:00:00,46.05,18.8,2.790283203125
2020-02-29 23:00:00,46.05,18.8,2.790283203125
2020-03-31 23:00:00,46.05,18.8,2.6357421875
2020-04-30 23:00:00,46.05,18.8,3.0726318359375
2020-05-31 23:00:00,46.05,18.8,3.0726318359375
2020-06-30 23:00:00,46.05,18.8,3.40185546875
2020-07-31 23:00:00,46.05,18.8,2.978515625
2020-08-31 23:00:00,46.05,18.8,3.1558837890625
2020-09-30 23:00:00,46.05,18.8,3.4193115234375
2020-10-31 23:00:00,46.05,18.8,3.4193115234375
2020-11-30 23:00:00,46.05,18.8,3.4449462890625
2020-12-31 23:00:00,46.05,18.8,3.31591796875
2021-01-31 23:00:00,46.05,18.8,3.31591796875
2021-02-28 23:00:00,46.05,18.8,3.388427734375
2021-03-31 23:00:00,46.05,18.8,3.2835693359375
2021-04-30 23:00:00,46.05,18.8,3.2835693359375
2021-05-31 23:00:00,46.05,18.8,3.2271728515625
2021-06-30 23:00:00,46.05,18.8,2.9300537109375
2021-07-31 23:00:00,46.05,18.8,2.9300537109375
2021-08-31 23:00:00,46.05,18.8,2.6021728515625
2021-09-30 23:00:00,46.05,18.8,2.8575439453125
2021-10-31 23:00:00,46.05,18.8,2.8575439453125
2021-11-30 23:00:00,46.05,18.8,3.25
2021-12-31 23:00:00,46.05,18.8,3.3951416015625
2022-01-31 23:00:00,46.05,18.8,3.1558837890625
2022-02-28 23:00:00,46.05,18.8,3.4193115234375
2022-03-31 23:00:00,46.05,18.8,3.4193115234375
2022-04-30 23:00:00,46.05,18.8,3.4449462890625
2022-05-31 23:00:00,46.05,18.8,3.31591796875
2022-06-30 23:00:00,46.05,18.8,3.31591796875
2022-07-31 23:00:00,46.05,18.8,3.388427734375
2022-08-31 23:00:00,46.05,18.8,3.2835693359375
2022-09-30 23:00:00,46.05,18.8,3.2835693359375
2022-10-31 23:00:00,46.05,18.8,3.2271728515625
2022-11-30 23:00:00,46.05,18.8,2.9300537109375
2022-12-31 23:00:00,46.05,18.8,2.9300537109375
2023-01-31 23:00:00,46.05,18.8,2.6021728515625
2023-02-28 23:00:00,46.05,18.8,2.8575439453125
2023-03-31 23:00:00,46.05,18.8,2.8575439453125
2023-04-30 23:00:00,46.05,18.8,3.25
2023-05-31 23:00:00,46.05,18.8,3.3951416015625
2023-06-30 23:00:00,46.05,18.8,2.790283203125
2023-07-31 23:00:00,46.05,18.8,3.220458984375
2023-08-31 23:00:00,46.05,18.8,3.220458984375
2023-09-30 23:00:00,46.05,18.8,3.491943359375
2023-10-31 23:00:00,46.05,18.8,3.350830078125
2023-11-30 23:00:00,46.05,18.8,3.350830078125
